sentence_id,lang_a,lang_b,similarity
5500,English,Kyrgyz,0.8553
5501,English,Kyrgyz,0.946
5502,English,Kyrgyz,0.808
5503,English,Kyrgyz,0.9364
5504,English,Kyrgyz,0.9046
5505,English,Kyrgyz,0.8203
5506,English,Kyrgyz,1.0
5507,English,Kyrgyz,0.8716
5508,English,Kyrgyz,0.8874
5509,English,Kyrgyz,0.9115
5510,English,Kyrgyz,0.8856
5511,English,Kyrgyz,1.0
5512,English,Kyrgyz,1.0
5513,English,Kyrgyz,0.8283
5514,English,Kyrgyz,0.8733
5515,English,Kyrgyz,0.8352
5516,English,Kyrgyz,0.9227
5517,English,Kyrgyz,0.9156
5518,English,Kyrgyz,0.8276
5519,English,Kyrgyz,0.9023
5520,English,Kyrgyz,0.9058
5521,English,Kyrgyz,0.8316
5522,English,Kyrgyz,0.9304
5523,English,Kyrgyz,0.8463
5524,English,Kyrgyz,1.0
5525,English,Kyrgyz,0.8335
5526,English,Kyrgyz,0.7675
5527,English,Kyrgyz,0.8443
5528,English,Kyrgyz,1.0
5529,English,Kyrgyz,1.0
5530,English,Kyrgyz,0.8644
5531,English,Kyrgyz,1.0
5532,English,Kyrgyz,0.9046
5533,English,Kyrgyz,0.8665
5534,English,Kyrgyz,0.9349
5535,English,Kyrgyz,0.9132
5536,English,Kyrgyz,0.8277
5537,English,Kyrgyz,0.8066
5538,English,Kyrgyz,0.9598
5539,English,Kyrgyz,0.8571
5540,English,Kyrgyz,1.0
5541,English,Kyrgyz,0.8177
5542,English,Kyrgyz,1.0
5543,English,Kyrgyz,0.8506
5544,English,Kyrgyz,0.9182
5545,English,Kyrgyz,1.0
5546,English,Kyrgyz,1.0
5547,English,Kyrgyz,0.8629
5548,English,Kyrgyz,0.8671
5549,English,Kyrgyz,0.8428
5550,English,Kyrgyz,0.8488
5551,English,Kyrgyz,0.8645
5552,English,Kyrgyz,0.9014
5553,English,Kyrgyz,0.9422
5554,English,Kyrgyz,1.0
5555,English,Kyrgyz,0.961
5556,English,Kyrgyz,0.8666
5557,English,Kyrgyz,1.0
5558,English,Kyrgyz,0.8102
5559,English,Kyrgyz,0.8674
5560,English,Kyrgyz,0.9025
5561,English,Kyrgyz,0.9449
5562,English,Kyrgyz,0.9052
5563,English,Kyrgyz,1.0
5564,English,Kyrgyz,0.8511
5565,English,Kyrgyz,0.8436
5566,English,Kyrgyz,0.8749
5567,English,Kyrgyz,0.8409
5568,English,Kyrgyz,0.8664
5569,English,Kyrgyz,0.8704
5570,English,Kyrgyz,0.8716
5571,English,Kyrgyz,0.9087
5572,English,Kyrgyz,0.9415
5573,English,Kyrgyz,0.9401
5574,English,Kyrgyz,0.8674
5575,English,Kyrgyz,1.0
5576,English,Kyrgyz,0.9117
5577,English,Kyrgyz,1.0
5578,English,Kyrgyz,0.8224
5579,English,Kyrgyz,0.8336
5580,English,Kyrgyz,1.0
5581,English,Kyrgyz,0.875
5582,English,Kyrgyz,0.9443
5583,English,Kyrgyz,1.0
5584,English,Kyrgyz,0.8801
5585,English,Kyrgyz,0.909
5586,English,Kyrgyz,0.8599
5587,English,Kyrgyz,0.8497
5588,English,Kyrgyz,0.8885
5589,English,Kyrgyz,0.8827
5590,English,Kyrgyz,0.8737
5591,English,Kyrgyz,0.8714
5592,English,Kyrgyz,0.9019
5593,English,Kyrgyz,0.9235
5594,English,Kyrgyz,0.951
5595,English,Kyrgyz,0.9165
5596,English,Kyrgyz,0.841
5597,English,Kyrgyz,0.7742
5598,English,Kyrgyz,0.8728
5599,English,Kyrgyz,0.8562
