sentence_id,lang,similarity
701,Chinese,0.8407
702,Chinese,1.0
703,Chinese,0.8772
704,Chinese,0.8791
705,Chinese,0.8441
706,Chinese,0.8765
707,Chinese,0.8456
708,Chinese,0.861
709,Chinese,0.9374
710,Chinese,0.957
711,Chinese,0.8479
712,Chinese,0.908
713,Chinese,0.9345
714,Chinese,0.9069
715,Chinese,0.8821
716,Chinese,0.8932
717,Chinese,0.8302
718,Chinese,0.904
719,Chinese,0.8483
720,Chinese,0.8925
721,Chinese,0.9536
722,Chinese,0.8789
723,Chinese,0.7957
724,Chinese,0.8561
725,Chinese,0.8868
726,Chinese,0.8714
727,Chinese,0.8922
728,Chinese,0.8633
729,Chinese,0.9174
730,Chinese,0.9144
731,Chinese,0.8511
732,Chinese,0.8516
733,Chinese,0.8811
734,Chinese,0.8278
735,Chinese,0.8231
736,Chinese,0.8966
737,Chinese,0.8899
738,Chinese,0.8476
739,Chinese,0.838
740,Chinese,0.8402
741,Chinese,0.8333
742,Chinese,0.9296
743,Chinese,0.8569
744,Chinese,0.9248
745,Chinese,0.8212
746,Chinese,0.8677
747,Chinese,0.8406
748,Chinese,0.8394
749,Chinese,0.8635
750,Chinese,0.8886
751,Chinese,0.9381
752,Chinese,0.8198
753,Chinese,0.8582
754,Chinese,0.8508
755,Chinese,0.8526
756,Chinese,0.8429
757,Chinese,0.8851
758,Chinese,0.8793
759,Chinese,0.8706
760,Chinese,0.8912
761,Chinese,0.8316
762,Chinese,0.8874
763,Chinese,0.9477
764,Chinese,0.8696
765,Chinese,0.8724
766,Chinese,0.8847
767,Chinese,0.8849
768,Chinese,0.9034
769,Chinese,0.9037
770,Chinese,0.8426
771,Chinese,0.8035
772,Chinese,0.9256
773,Chinese,0.8849
774,Chinese,0.8848
775,Chinese,0.9221
776,Chinese,0.8356
777,Chinese,0.8845
778,Chinese,0.8395
779,Chinese,0.8691
780,Chinese,0.8864
781,Chinese,0.7831
782,Chinese,0.8768
783,Chinese,0.8411
784,Chinese,0.8916
785,Chinese,0.8286
786,Chinese,0.9408
787,Chinese,0.8959
788,Chinese,0.8761
789,Chinese,0.9489
790,Chinese,0.8823
791,Chinese,0.8698
792,Chinese,0.9062
793,Chinese,0.9131
794,Chinese,0.8813
795,Chinese,0.8524
796,Chinese,0.8756
797,Chinese,0.8546
798,Chinese,0.8618
799,Chinese,0.8512
800,Chinese,0.8857
801,Chinese,0.8669
802,Chinese,0.8898
803,Chinese,0.8788
804,Chinese,0.9151
805,Chinese,0.825
806,Chinese,0.8656
807,Chinese,0.8714
808,Chinese,0.9054
809,Chinese,0.8462
810,Chinese,0.8675
811,Chinese,0.8716
812,Chinese,0.928
813,Chinese,0.8925
814,Chinese,0.8326
815,Chinese,0.8997
816,Chinese,0.8725
817,Chinese,0.8634
818,Chinese,0.8555
819,Chinese,0.8699
820,Chinese,0.8928
821,Chinese,0.8406
822,Chinese,0.8836
823,Chinese,0.9144
824,Chinese,0.9248
825,Chinese,0.8878
826,Chinese,0.8248
827,Chinese,0.8894
828,Chinese,0.8741
829,Chinese,0.8627
830,Chinese,0.8725
831,Chinese,0.8499
832,Chinese,0.8958
833,Chinese,0.893
834,Chinese,0.8973
835,Chinese,0.875
836,Chinese,0.8893
837,Chinese,0.8138
838,Chinese,0.9233
839,Chinese,0.8541
840,Chinese,0.9017
841,Chinese,1.0
842,Chinese,0.9047
843,Chinese,0.8467
844,Chinese,1.0
845,Chinese,0.9148
846,Chinese,0.9062
847,Chinese,0.974
848,Chinese,0.8974
849,Chinese,0.8963
850,Chinese,0.9061
851,Chinese,0.8009
852,Chinese,0.8317
853,Chinese,0.8807
854,Chinese,0.8764
855,Chinese,0.9404
856,Chinese,0.908
857,Chinese,0.9032
858,Chinese,0.8911
859,Chinese,0.8494
860,Chinese,0.8689
861,Chinese,0.9141
862,Chinese,0.9118
863,Chinese,0.8569
864,Chinese,0.9218
865,Chinese,0.8662
866,Chinese,0.877
867,Chinese,0.8976
868,Chinese,0.864
869,Chinese,0.8329
870,Chinese,0.8711
871,Chinese,0.8857
872,Chinese,0.895
873,Chinese,0.8958
874,Chinese,0.9009
875,Chinese,0.8732
876,Chinese,0.8687
877,Chinese,0.798
878,Chinese,0.855
879,Chinese,0.8597
880,Chinese,0.954
881,Chinese,0.9248
882,Chinese,0.8753
883,Chinese,0.8577
884,Chinese,0.8291
885,Chinese,0.9379
886,Chinese,0.9388
887,Chinese,0.862
888,Chinese,0.7752
889,Chinese,0.898
890,Chinese,0.8542
891,Chinese,0.915
892,Chinese,0.8951
893,Chinese,0.876
894,Chinese,0.8212
895,Chinese,0.8906
896,Chinese,0.8874
897,Chinese,0.8963
898,Chinese,0.7977
899,Chinese,0.9018
900,Chinese,0.9459
901,Chinese,0.8856
902,Chinese,0.9226
903,Chinese,0.8608
904,Chinese,0.8529
905,Chinese,0.8478
906,Chinese,0.8737
907,Chinese,0.7457
908,Chinese,0.9013
909,Chinese,0.875
910,Chinese,0.8658
911,Chinese,0.8635
912,Chinese,0.8343
913,Chinese,0.835
914,Chinese,0.8397
915,Chinese,0.8551
916,Chinese,0.925
917,Chinese,0.9494
918,Chinese,0.832
919,Chinese,0.8322
920,Chinese,1.0
921,Chinese,0.8416
922,Chinese,0.8091
923,Chinese,0.8813
924,Chinese,0.9209
925,Chinese,0.8463
926,Chinese,0.8825
927,Chinese,0.9044
928,Chinese,0.8597
929,Chinese,0.8554
930,Chinese,0.8585
931,Chinese,0.8726
932,Chinese,0.8472
933,Chinese,0.8589
934,Chinese,0.8893
935,Chinese,0.8373
936,Chinese,0.9201
937,Chinese,0.9112
938,Chinese,0.8947
939,Chinese,0.8623
940,Chinese,0.8057
941,Chinese,0.942
942,Chinese,0.8693
943,Chinese,0.8054
944,Chinese,0.7342
945,Chinese,0.873
946,Chinese,0.8235
947,Chinese,0.8619
948,Chinese,0.8699
949,Chinese,0.7816
950,Chinese,0.8456
951,Chinese,0.8843
952,Chinese,0.8996
953,Chinese,0.9048
954,Chinese,0.8746
955,Chinese,0.8892
956,Chinese,0.8955
957,Chinese,0.9044
958,Chinese,0.8772
959,Chinese,0.9047
960,Chinese,0.8886
961,Chinese,0.8947
962,Chinese,0.8432
963,Chinese,0.8725
964,Chinese,0.9181
965,Chinese,0.8913
966,Chinese,0.827
967,Chinese,0.8738
968,Chinese,0.9246
969,Chinese,0.9009
970,Chinese,0.7848
971,Chinese,0.8363
972,Chinese,0.8413
973,Chinese,0.8535
974,Chinese,0.8841
975,Chinese,0.8576
976,Chinese,0.9167
977,Chinese,0.9042
978,Chinese,0.9159
979,Chinese,0.8034
980,Chinese,0.8664
981,Chinese,0.8913
982,Chinese,0.8876
983,Chinese,0.932
984,Chinese,0.8748
985,Chinese,0.8022
986,Chinese,0.8514
987,Chinese,0.8362
988,Chinese,0.803
989,Chinese,0.8495
990,Chinese,0.9084
991,Chinese,0.8369
992,Chinese,0.9066
993,Chinese,0.8948
994,Chinese,0.7541
995,Chinese,0.792
996,Chinese,0.8808
997,Chinese,0.9181
998,Chinese,0.8551
999,Chinese,0.8945
1000,Chinese,0.8001
1001,Chinese,0.9127
1002,Chinese,0.7601
1003,Chinese,0.8921
1004,Chinese,0.8413
1005,Chinese,0.8419
1006,Chinese,0.8738
1007,Chinese,0.8497
1008,Chinese,0.9137
1009,Chinese,0.9088
1010,Chinese,0.8713
1011,Chinese,0.8884
1012,Chinese,0.8072
1013,Chinese,0.8527
1014,Chinese,0.9344
1015,Chinese,0.8513
1016,Chinese,0.9084
1017,Chinese,0.8729
1018,Chinese,0.8896
1019,Chinese,0.9143
1020,Chinese,0.8626
1021,Chinese,0.8758
1022,Chinese,0.9212
1023,Chinese,0.9025
1024,Chinese,0.7771
1025,Chinese,0.9312
1026,Chinese,0.8603
1027,Chinese,0.8838
1028,Chinese,0.88
1029,Chinese,0.918
1030,Chinese,0.8552
1031,Chinese,0.9009
1032,Chinese,0.9252
1033,Chinese,0.9075
1034,Chinese,0.938
1035,Chinese,0.888
1036,Chinese,0.8206
1037,Chinese,0.8718
1038,Chinese,0.8829
1039,Chinese,0.9463
1040,Chinese,0.9225
1041,Chinese,0.8791
1042,Chinese,0.8427
1043,Chinese,0.8626
1044,Chinese,0.8512
1045,Chinese,0.8763
1046,Chinese,0.8726
1047,Chinese,0.8683
1048,Chinese,0.8701
1049,Chinese,0.9223
1050,Chinese,0.8804
1051,Chinese,0.8799
1052,Chinese,0.8076
1053,Chinese,0.8537
1054,Chinese,0.852
1055,Chinese,0.9108
1056,Chinese,0.8127
1057,Chinese,0.8563
1058,Chinese,0.8899
1059,Chinese,0.8678
1060,Chinese,0.9091
1061,Chinese,0.8957
1062,Chinese,0.8742
1063,Chinese,0.8527
1064,Chinese,0.8597
1065,Chinese,0.8662
1066,Chinese,0.8339
1067,Chinese,0.9096
1068,Chinese,0.9039
1069,Chinese,0.8668
1070,Chinese,0.9101
1071,Chinese,0.9084
1072,Chinese,0.8299
1073,Chinese,0.8472
1074,Chinese,0.8605
1075,Chinese,0.8854
1076,Chinese,0.8623
1077,Chinese,0.8953
1078,Chinese,0.8129
1079,Chinese,0.8782
1080,Chinese,0.8395
1081,Chinese,0.8887
1082,Chinese,0.8346
1083,Chinese,0.9305
1084,Chinese,0.8608
1085,Chinese,0.9225
1086,Chinese,0.8846
1087,Chinese,0.9579
1088,Chinese,0.8438
1089,Chinese,0.8826
1090,Chinese,0.8699
1091,Chinese,0.8991
1092,Chinese,0.8555
1093,Chinese,0.8599
1094,Chinese,0.8519
1095,Chinese,0.856
1096,Chinese,0.8387
1097,Chinese,0.9027
1098,Chinese,0.8932
1099,Chinese,0.8724
1100,Chinese,0.8956
1101,Chinese,0.821
1102,Chinese,0.9391
1103,Chinese,0.8407
1104,Chinese,0.8141
1105,Chinese,0.8578
1106,Chinese,0.8364
1107,Chinese,0.9015
1108,Chinese,0.8964
1109,Chinese,0.9163
1110,Chinese,0.8806
1111,Chinese,0.8374
1112,Chinese,0.8445
1113,Chinese,0.8766
1114,Chinese,0.8728
1115,Chinese,0.8562
1116,Chinese,0.8566
1117,Chinese,0.9123
1118,Chinese,0.86
1119,Chinese,0.8876
1120,Chinese,0.8364
1121,Chinese,0.8985
1122,Chinese,0.911
1123,Chinese,0.885
1124,Chinese,0.9081
1125,Chinese,0.8678
1126,Chinese,0.8446
1127,Chinese,0.8731
1128,Chinese,0.9286
1129,Chinese,0.8288
1130,Chinese,0.8898
1131,Chinese,0.8249
1132,Chinese,0.8801
1133,Chinese,0.8991
1134,Chinese,0.8446
1135,Chinese,0.8893
1136,Chinese,0.8152
1137,Chinese,0.8566
1138,Chinese,0.9114
1139,Chinese,0.9035
1140,Chinese,0.8335
1141,Chinese,0.8913
1142,Chinese,0.82
1143,Chinese,0.9247
1144,Chinese,0.8405
1145,Chinese,0.8857
1146,Chinese,0.8738
1147,Chinese,0.8751
1148,Chinese,0.8645
